model,dataset,scene,frame,reset,tier,n_gt,fresh_f1,reuse_f1,f1_gap,fresh_miou,reuse_miou,miou_gap,baseline_ms,optimized_ms,speedup,baseline_power_w,optimized_power_w,power_reduction_percent,baseline_energy_j,optimized_energy_j,energy_reduction_percent
3dssd,kitti_raw,2011_09_26_drive_0001_sync,31,0,3,5,0.6667,0.6667,0.0,0.8342,0.8392,-0.005,66.6,54.11,1.231,44.94,51.941,-15.578,2.993087,2.810335,6.106
3dssd,kitti_raw,2011_09_26_drive_0001_sync,32,0,3,5,0.7273,0.7273,0.0,0.7834,0.7974,-0.0139,65.07,54.05,1.204,43.143,48.139,-11.581,2.807155,2.602007,7.308
3dssd,kitti_raw,2011_09_26_drive_0001_sync,33,0,3,5,0.7273,0.7273,0.0,0.8373,0.8209,0.0164,64.71,54.17,1.195,43.734,52.504,-20.053,2.830178,2.844267,-0.498
3dssd,kitti_raw,2011_09_26_drive_0001_sync,34,0,3,4,0.6,0.6,0.0,0.8598,0.8818,-0.022,66.59,54.91,1.213,43.654,51.112,-17.086,2.90673,2.806379,3.452
3dssd,kitti_raw,2011_09_26_drive_0001_sync,35,1,3,4,0.6,0.6,0.0,0.8644,0.8229,0.0415,65.56,55.79,1.175,43.852,50.915,-16.107,2.875142,2.840523,1.204
3dssd,kitti_raw,2011_09_26_drive_0001_sync,36,0,3,4,0.6667,0.6667,0.0,0.9145,0.8828,0.0317,65.51,54.14,1.21,44.175,51.887,-17.458,2.894051,2.808949,2.941
3dssd,kitti_raw,2011_09_26_drive_0001_sync,37,0,3,3,0.6667,0.6667,0.0,0.8045,0.8464,-0.0419,64.84,53.24,1.218,44.504,49.621,-11.498,2.885425,2.641988,8.437
3dssd,kitti_raw,2011_09_26_drive_0001_sync,38,0,3,3,0.6667,0.6667,0.0,0.8102,0.819,-0.0088,64.98,53.17,1.222,44.054,52.527,-19.231,2.86268,2.792615,2.448
3dssd,kitti_raw,2011_09_26_drive_0001_sync,39,0,3,3,0.6667,0.6667,0.0,0.8253,0.8265,-0.0012,65.34,55.16,1.185,44.371,49.082,-10.617,2.899147,2.707423,6.613
3dssd,kitti_raw,2011_09_26_drive_0001_sync,40,1,3,3,0.6667,0.6667,0.0,0.8533,0.8598,-0.0065,65.59,55.5,1.182,47.575,49.188,-3.392,3.120483,2.73018,12.508
3dssd,kitti_raw,2011_09_26_drive_0001_sync,41,0,3,4,0.6667,0.6667,0.0,0.8676,0.8476,0.02,64.91,53.73,1.208,43.96,48.766,-10.934,2.85359,2.620082,8.183
3dssd,kitti_raw,2011_09_26_drive_0001_sync,42,0,3,3,0.75,0.75,0.0,0.7693,0.7876,-0.0183,66.07,55.03,1.201,48.223,49.13,-1.881,3.186092,2.703482,15.147
3dssd,kitti_raw,2011_09_26_drive_0001_sync,43,0,3,3,0.75,0.75,0.0,0.8329,0.841,-0.0081,64.92,53.5,1.214,44.322,50.013,-12.84,2.877588,2.675472,7.024
